i_,name,mult,inchi
0,AR,1,InChI=1S/Ar
1,N2,1,InChI=1S/N2/c1-2
2,HE,1,InChI=1S/He
3,H2,1,InChI=1S/H2/h1H
4,H,2,InChI=1S/H
5,O2,3,InChI=1S/O2/c1-2
6,O,3,InChI=1S/O
7,H2O,1,InChI=1S/H2O/h1H2
8,OH,2,InChI=1S/HO/h1H
9,H2O2,1,InChI=1S/H2O2/c1-2/h1-2H
10,HO2,2,InChI=1S/HO2/c1-2/h1H
11,CO,1,InChI=1S/CO/c1-2
12,CO2,1,InChI=1S/CO2/c2-1-3
13,HOCO,2,"InChI=1S/CHO2/c2-1-3/h(H,2,3)"
14,CH4,1,InChI=1S/CH4/h1H4
15,CH3,2,InChI=1S/CH3/h1H3
16,CH2,3,InChI=1S/CH2/h1H2
17,CH2(S),1,InChI=1S/CH2/h1H2
18,C,3,InChI=1S/CH2/h1H2
19,CH,2,InChI=1S/CH3/h1H3
20,CH3O2H,1,"InChI=1S/CH4O2/c1-3-2/h2H,1H3"
21,CH3O2,2,InChI=1S/CH3O2/c1-3-2/h1H3
22,CH2O2H,2,"InChI=1S/CH3O2/c1-3-2/h2H,1H2"
23,CH3OH,1,"InChI=1S/CH4O/c1-2/h2H,1H3"
24,CH3O,2,InChI=1S/CH3O/c1-2/h1H3
25,CH2OH,2,"InChI=1S/CH3O/c1-2/h2H,1H2"
26,CH2O,1,InChI=1S/CH2O/c1-2/h1H2
27,HCO,2,InChI=1S/CHO/c1-2/h1H
28,HCOH,1,InChI=1S/CH2O/c1-2/h1-2H
29,HO2CHO,1,"InChI=1S/CH2O3/c2-1-4-3/h1,3H"
30,HOCH2O2H,1,"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2"
31,HOCH2O2,2,"InChI=1S/CH3O3/c2-1-4-3/h2H,1H2"
32,OCH2O2H,2,"InChI=1S/CH3O3/c2-1-4-3/h3H,1H2"
33,HOCH2O,2,"InChI=1S/CH3O2/c2-1-3/h2H,1H2"
34,O2CHO,2,InChI=1S/CHO3/c2-1-4-3/h1H
35,HOCHO,1,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)"
36,OCHO,2,InChI=1S/CHO2/c2-1-3/h1H
37,C2H6,1,InChI=1S/C2H6/c1-2/h1-2H3
38,C2H5,2,"InChI=1S/C2H5/c1-2/h1H2,2H3"
39,C2H5O2H,1,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3"
40,C2H5O2,2,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3"
41,C2H4,1,InChI=1S/C2H4/c1-2/h1-2H2
42,C2H3,2,"InChI=1S/C2H3/c1-2/h1H,2H2"
43,CHOCHO,1,InChI=1S/C2H2O2/c3-1-2-4/h1-2H
44,C2H3OOH,1,"InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2"
45,C2H3OO,2,"InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2"
46,CHCHO,3,"InChI=1S/C2H4O/c1-2-3/h1,3H,2H2"
47,C2H2,1,InChI=1S/C2H2/c1-2/h1-2H
48,C2H,2,InChI=1S/C2H/c1-2/h1H
49,H2CC,1,InChI=1S/C2H2/c1-2/h1H2
50,C2H5OH,1,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
51,C2H5O,2,"InChI=1S/C2H5O/c1-2-3/h2H2,1H3"
52,PC2H4OH,2,"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2"
53,SC2H4OH,2,"InChI=1S/C2H5O/c1-2-3/h2-3H,1H3"
54,O2C2H4OH,2,"InChI=1S/C2H5O3/c3-1-2-5-4/h3H,1-2H2"
55,C2H4O2H,2,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2"
56,C2H4O1-2,1,InChI=1S/C2H4O/c1-2-3-1/h1-2H2
57,C2H3O1-2,2,"InChI=1S/C2H3O/c1-2-3-1/h1H,2H2"
58,CH3CHO,1,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
59,CH3CO,2,InChI=1S/C2H3O/c1-2-3/h1H3
60,CH2CHO,2,"InChI=1S/C2H3O/c1-2-3/h2H,1H2"
61,O2CH2CHO,2,"InChI=1S/C2H3O3/c3-1-2-5-4/h1H,2H2"
62,HO2CH2CO,2,"InChI=1S/C2H3O3/c3-1-2-5-4/h4H,2H2"
63,C2H3OH,1,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2"
64,C2H2OH,2,InChI=1S/C2H3O/c1-2-3/h1-3H
65,CH2CO,1,InChI=1S/C2H2O/c1-2-3/h1H2
66,HCCO,2,InChI=1S/C2HO/c1-2-3/h1H
67,HCCOH,1,"InChI=1S/C2H2O/c1-2-3/h1,3H"
68,CH3CO3H,1,"InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3"
69,CH3CO3,2,InChI=1S/C2H3O3/c1-2(3)5-4/h1H3
70,CH3CO2,2,InChI=1S/C2H3O2/c1-2(3)4/h1H3
71,CH3OCH3,1,InChI=1S/C2H6O/c1-3-2/h1-2H3
72,CH3OCH2,2,"InChI=1S/C2H5O/c1-3-2/h1H2,2H3"
73,CH3OCH2O2H,1,"InChI=1S/C2H6O3/c1-4-2-5-3/h3H,2H2,1H3"
74,CH3OCH2O2,2,"InChI=1S/C2H5O3/c1-4-2-5-3/h2H2,1H3"
75,CH2OCH2O2H,2,"InChI=1S/C2H5O3/c1-4-2-5-3/h3H,1-2H2"
76,O2CH2OCH2O2H,2,"InChI=1S/C2H5O5/c3-6-1-5-2-7-4/h3H,1-2H2"
77,HO2CH2OCHO,1,"InChI=1S/C2H4O4/c3-1-5-2-6-4/h1,4H,2H2"
78,OCH2OCHO,2,"InChI=1S/C2H3O3/c3-1-5-2-4/h1H,2H2"
79,HOCH2OCO,2,"InChI=1S/C2H3O3/c3-1-5-2-4/h3H,1H2"
80,CH3OCH2O,2,"InChI=1S/C2H5O2/c1-4-2-3/h2H2,1H3"
81,CH3OCHO,1,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3"
82,CH3OCO,2,InChI=1S/C2H3O2/c1-4-2-3/h1H3
83,CH2OCHO,2,"InChI=1S/C2H3O2/c1-4-2-3/h2H,1H2"
84,C3H8,1,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
85,IC3H7,2,"InChI=1S/C3H7/c1-3-2/h3H,1-2H3"
86,NC3H7,2,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3"
87,NC3H7O2H,1,"InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3"
88,NC3H7O2,2,"InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3"
89,IC3H7O2H,1,"InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3"
90,IC3H7O2,2,"InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3"
91,NC3H7O,2,"InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3"
92,IC3H7O,2,"InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3"
93,C3H6OOH1-2,2,"InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3"
94,C3H6OOH1-3,2,"InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2"
95,C3H6OOH2-1,2,"InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3"
96,C3H6OOH1-2O2,2,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-4H,2H2,1H3"
97,C3H6OOH1-3O2,2,"InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h4H,1-3H2"
98,C3H6OOH2-1O2,2,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3,5H,2H2,1H3"
99,C3KET12,1,"InChI=1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3"
100,C3KET13,1,"InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2"
101,"C3H51-2,3OOH",2,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2"
102,"C3H52-1,3OOH",2,"InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h1,4-5H,2-3H2"
103,C3H5O1-2OOH-3,1,"InChI=1S/C3H6O3/c4-6-2-3-1-5-3/h3-4H,1-2H2"
104,C3H5O1-3OOH-2,1,"InChI=1S/C3H6O3/c4-6-3-1-5-2-3/h3-4H,1-2H2"
105,C3H6O1-2,1,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3"
106,C3H6O1-3,1,InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2
107,C3H6,1,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
108,C3H5-A,2,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2"
109,C3H5-S,2,"InChI=1S/C3H5/c1-3-2/h1,3H,2H3"
110,C3H5-T,2,"InChI=1S/C3H5/c1-3-2/h1H2,2H3"
111,CC3H6,1,InChI=1S/C3H6/c1-2-3-1/h1-3H2
112,C3H5O,2,"InChI=1S/C3H5O/c1-2-3-4/h2H,1,3H2"
113,CH2CHOCH2,2,"InChI=1S/C3H5O/c1-3-4-2/h3H,1-2H2"
114,CH3CHCHO,2,"InChI=1S/C3H5O/c1-2-3-4/h2-3H,1H3"
115,AC4H7OOH,1,"InChI=1S/C4H8O2/c1-3-4-6-5-2/h3H,1,4H2,2H3"
116,C3H6OH1-2,2,"InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3"
117,CH3CHCO,1,"InChI=1S/C3H4O/c1-2-3-4/h2H,1H3"
118,AC3H5OOH,1,"InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2"
119,C3H6OH2-1,2,"InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3"
120,HOC3H6O2,2,"InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3"
121,SC3H5OH,1,"InChI=1S/C3H6O/c1-2-3-4/h2-4H,1H3"
122,IC3H5OH,1,"InChI=1S/C3H6O/c1-3(2)4/h4H,1H2,2H3"
123,C3H5OH,1,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2"
124,CH2CCH2OH,2,"InChI=1S/C3H5O/c1-2-3-4/h4H,1,3H2"
125,C3H4-P,1,"InChI=1S/C3H4/c1-3-2/h1H,2H3"
126,C3H4-A,1,InChI=1S/C3H4/c1-3-2/h1-2H2
127,C3H3,2,"InChI=1S/C3H3/c1-3-2/h1H,2H2"
128,CC3H4,1,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2"
129,C3H2,1,InChI=1S/C3H2/c1-3-2/h1H2
130,H2CCC(S),1,InChI=1S/C3H2/c1-3-2/h1H2
131,C3H2(S),1,InChI=1S/C3H2/c1-3-2/h1H2
132,C3H2C,3,InChI=1S/C3H2/c1-2-3-1/h1-2H
133,PC3H4OH-2,2,"InChI=1S/C3H5O/c1-2-3-4/h3-4H,1H3"
134,SC3H4OH,2,"InChI=1S/C3H5O/c1-3(2)4/h4H,1-2H2"
135,C3H3O,2,"InChI=1S/C3H3O/c1-2-3-4/h3H,1H2"
136,C3H3O2H,1,"InChI=1S/C3H4O2/c1-2-3-5-4/h3-4H,1H2"
137,C2HCHO,1,"InChI=1S/C3H2O/c1-2-3-4/h1,3H"
138,C2H5CHO,1,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
139,C2H5CO,2,"InChI=1S/C3H5O/c1-2-3-4/h2H2,1H3"
140,CH2CH2CHO,2,"InChI=1S/C3H5O/c1-2-3-4/h3H,1-2H2"
141,C2H3CHO,1,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2"
142,C2H3CO,2,"InChI=1S/C3H3O/c1-2-3-4/h2H,1H2"
143,CH3COCH3,1,InChI=1S/C3H6O/c1-3(2)4/h1-2H3
144,CH3COCH2,2,"InChI=1S/C3H5O/c1-3(2)4/h1H2,2H3"
145,CH3COCH2O2,2,"InChI=1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3"
146,CH3COCH2O,2,"InChI=1S/C3H5O2/c1-3(5)2-4/h2H2,1H3"
147,C3KET21,1,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3"
148,C4H10,1,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
149,PC4H9,2,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3"
150,SC4H9,2,"InChI=1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3"
151,PC4H9O,2,"InChI=1S/C4H9O/c1-2-3-4-5/h2-4H2,1H3"
152,SC4H9O,2,"InChI=1S/C4H9O/c1-3-4(2)5/h4H,3H2,1-2H3"
153,PC4H9O2,2,"InChI=1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3"
154,SC4H9O2,2,"InChI=1S/C4H9O2/c1-3-4(2)6-5/h4H,3H2,1-2H3"
155,PC4H9O2H,1,"InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3"
156,SC4H9O2H,1,"InChI=1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3"
157,C4H8OOH1-2,2,"InChI=1S/C4H9O2/c1-2-3-4-6-5/h3,5H,2,4H2,1H3"
158,C4H8OOH1-3,2,"InChI=1S/C4H9O2/c1-2-3-4-6-5/h2,5H,3-4H2,1H3"
159,C4H8OOH1-4,2,"InChI=1S/C4H9O2/c1-2-3-4-6-5/h5H,1-4H2"
160,C4H8OOH2-1,2,"InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,2-3H2,1H3"
161,C4H8OOH2-3,2,"InChI=1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3"
162,C4H8OOH2-4,2,"InChI=1S/C4H9O2/c1-3-4(2)6-5/h4-5H,1,3H2,2H3"
163,C4H8O1-2,1,"InChI=1S/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3"
164,C4H8O1-3,1,"InChI=1S/C4H8O/c1-4-2-3-5-4/h4H,2-3H2,1H3"
165,C4H8O1-4,1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
166,C4H8O2-3,1,"InChI=1S/C4H8O/c1-3-4(2)5-3/h3-4H,1-2H3"
167,C4H8OOH1-2O2,2,"InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-5H,2-3H2,1H3"
168,C4H8OOH1-3O2,2,"InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-5H,2-3H2,1H3"
169,C4H8OOH1-4O2,2,"InChI=1S/C4H9O4/c5-7-3-1-2-4-8-6/h5H,1-4H2"
170,C4H8OOH2-1O2,2,"InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4,6H,2-3H2,1H3"
171,C4H8OOH2-3O2,2,"InChI=1S/C4H9O4/c1-3(7-5)4(2)8-6/h3-5H,1-2H3"
172,C4H8OOH2-4O2,2,"InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4,6H,2-3H2,1H3"
173,"C4H71-2,4OOH",2,"InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-6H,1-3H2"
174,"C4H72-1,3OOH",2,"InChI=1S/C4H9O4/c1-4(8-6)2-3-7-5/h2,4-6H,3H2,1H3"
175,"C4H72-1,4OOH",2,"InChI=1S/C4H9O4/c5-7-3-1-2-4-8-6/h1,5-6H,2-4H2"
176,"C4H71-2,3OOH",2,"InChI=1S/C4H9O4/c1-3(7-5)4(2)8-6/h3-6H,1H2,2H3"
177,C4H7O1-3OOH-4,1,"InChI=1S/C4H8O3/c5-7-3-4-1-2-6-4/h4-5H,1-3H2"
178,C4H7O1-3OOH-2,1,"InChI=1S/C4H8O3/c1-3-4(7-5)2-6-3/h3-5H,2H2,1H3"
179,C4H7O1-2OOH-4,1,"InChI=1S/C4H8O3/c5-7-2-1-4-3-6-4/h4-5H,1-3H2"
180,C4H7O1-4OOH-2,1,"InChI=1S/C4H8O3/c5-7-4-1-2-6-3-4/h4-5H,1-3H2"
181,C4H7O1-2OOH-3,1,"InChI=1S/C4H8O3/c1-3(7-5)4-2-6-4/h3-5H,2H2,1H3"
182,C4H7O2-3OOH-1,1,"InChI=1S/C4H8O3/c1-3-4(7-3)2-6-5/h3-5H,2H2,1H3"
183,C4H72-1OOH,1,"InChI=1S/C4H8O2/c1-2-3-4-6-5/h2-3,5H,4H2,1H3"
184,NC4KET12,1,"InChI=1S/C4H8O3/c1-2-4(3-5)7-6/h3-4,6H,2H2,1H3"
185,NC4KET13,1,"InChI=1S/C4H8O3/c1-4(7-6)2-3-5/h3-4,6H,2H2,1H3"
186,NC4KET14,1,"InChI=1S/C4H8O3/c5-3-1-2-4-7-6/h3,6H,1-2,4H2"
187,NC4KET21,1,"InChI=1S/C4H8O3/c1-2-4(5)3-7-6/h6H,2-3H2,1H3"
188,NC4KET23,1,"InChI=1S/C4H8O3/c1-3(5)4(2)7-6/h4,6H,1-2H3"
189,NC4KET24,1,"InChI=1S/C4H8O3/c1-4(5)2-3-7-6/h6H,2-3H2,1H3"
190,C4H71-3OOH,1,"InChI=1S/C4H8O2/c1-3-4(2)6-5/h3-5H,1H2,2H3"
191,"C4H71-3,4OOH",2,"InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-6H,1-3H2"
192,"C4H72-3,4OOH",2,"InChI=1S/C4H9O4/c1-2-4(8-6)3-7-5/h2,4-6H,3H2,1H3"
193,HO2CH2CHO,1,"InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2"
194,IC4H10,1,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3"
195,IC4H9,2,"InChI=1S/C4H9/c1-4(2)3/h4H,1H2,2-3H3"
196,TC4H9,2,InChI=1S/C4H9/c1-4(2)3/h1-3H3
197,TC4H9O,2,"InChI=1S/C4H9O/c1-4(2,3)5/h1-3H3"
198,IC4H9O,2,"InChI=1S/C4H9O/c1-4(2)3-5/h4H,3H2,1-2H3"
199,IC4H8O,1,"InChI=1S/C4H8O/c1-4(2)3-5-4/h3H2,1-2H3"
200,IC3H7CHO,1,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3"
201,IC3H7CO,2,"InChI=1S/C4H7O/c1-4(2)3-5/h4H,1-2H3"
202,IC3H6CHO,2,"InChI=1S/C4H7O/c1-4(2)3-5/h3-4H,1H2,2H3"
203,TC3H6CHO,2,"InChI=1S/C4H7O/c1-4(2)3-5/h3H,1-2H3"
204,IC3H5CHO,1,"InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3"
205,TC3H6O2CHO,2,"InChI=1S/C4H7O3/c1-4(2,3-5)7-6/h3H,1-2H3"
206,IC3H5O2HCHO,2,"InChI=1S/C4H7O3/c1-4(2,3-5)7-6/h3,6H,1H2,2H3"
207,TC3H6O2HCO,2,"InChI=1S/C4H7O3/c1-4(2,3-5)7-6/h6H,1-2H3"
208,TC3H6OCHO,2,"InChI=1S/C4H7O2/c1-4(2,6)3-5/h3H,1-2H3"
209,IC3H6CO,1,InChI=1S/C4H6O/c1-4(2)3-5/h1-2H3
210,IC3H5CO,2,"InChI=1S/C4H5O/c1-4(2)3-5/h1H2,2H3"
211,IC3H4CHO-A,2,"InChI=1S/C4H5O/c1-4(2)3-5/h3H,1-2H2"
212,SC4H7OH-I,1,"InChI=1S/C4H8O/c1-4(2)3-5/h3,5H,1-2H3"
213,IC4H9O2,2,"InChI=1S/C4H9O2/c1-4(2)3-6-5/h4H,3H2,1-2H3"
214,TC4H9O2,2,"InChI=1S/C4H9O2/c1-4(2,3)6-5/h1-3H3"
215,IC4H8O2H-I,2,"InChI=1S/C4H9O2/c1-4(2)3-6-5/h4-5H,1,3H2,2H3"
216,IC4H8O2H-T,2,"InChI=1S/C4H9O2/c1-4(2)3-6-5/h5H,3H2,1-2H3"
217,TC4H8O2H-I,2,"InChI=1S/C4H9O2/c1-4(2,3)6-5/h5H,1H2,2-3H3"
218,CC4H8O,1,"InChI=1S/C4H8O/c1-4-2-5-3-4/h4H,2-3H2,1H3"
219,IC4H8OOH-IO2,2,"InChI=1S/C4H9O4/c1-4(2-7-5)3-8-6/h4-5H,2-3H2,1H3"
220,IC4H8OOH-TO2,2,"InChI=1S/C4H9O4/c1-4(2,8-6)3-7-5/h5H,3H2,1-2H3"
221,TC4H8OOH-IO2,2,"InChI=1S/C4H9O4/c1-4(2,8-6)3-7-5/h6H,3H2,1-2H3"
222,IC4KETII,1,"InChI=1S/C4H8O3/c1-4(2-5)3-7-6/h2,4,6H,3H2,1H3"
223,IC4KETIT,1,"InChI=1S/C4H8O3/c1-4(2,3-5)7-6/h3,6H,1-2H3"
224,TIC4H7Q2-I,2,"InChI=1S/C4H9O4/c1-4(2,8-6)3-7-5/h5-6H,1,3H2,2H3"
225,IIC4H7Q2-I,2,"InChI=1S/C4H9O4/c1-4(2-7-5)3-8-6/h4-6H,1-3H2"
226,IIC4H7Q2-T,2,"InChI=1S/C4H9O4/c1-4(2-7-5)3-8-6/h5-6H,2-3H2,1H3"
227,IC4H7OOH,1,"InChI=1S/C4H8O2/c1-4(2)3-6-5/h5H,1,3H2,2H3"
228,IC4H9O2H,1,"InChI=1S/C4H10O2/c1-4(2)3-6-5/h4-5H,3H2,1-2H3"
229,TC4H9O2H,1,"InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3"
230,IC4H8,1,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3"
231,IC4H7,2,"InChI=1S/C4H7/c1-4(2)3/h1-2H2,3H3"
232,IC4H7-I1,2,"InChI=1S/C4H7/c1-4(2)3/h1H,2-3H3"
233,IC4H7O2,2,"InChI=1S/C4H7O2/c1-4(2)3-6-5/h1,3H2,2H3"
234,IC4H6OOH-I,2,"InChI=1S/C4H7O2/c1-4(2)3-6-5/h5H,1-3H2"
235,CCYCCOOC-T1,2,"InChI=1S/C4H7O2/c1-4-2-5-6-3-4/h2-3H2,1H3"
236,C2CYCOOC-I1,2,"InChI=1S/C4H7O2/c1-4(2)3-5-6-4/h1,3H2,2H3"
237,IC4H7O,2,"InChI=1S/C4H7O/c1-4(2)3-5/h1,3H2,2H3"
238,CVCYCCOC,1,InChI=1S/C4H6O/c1-4-2-5-3-4/h1-3H2
239,CCYC2OCO,2,"InChI=1S/C4H7O2/c1-4(2-5)3-6-4/h2-3H2,1H3"
240,CCYCCOOC-I2,2,"InChI=1S/C4H7O2/c1-4-2-5-6-3-4/h2,4H,3H2,1H3"
241,CHOIC3H6O,2,"InChI=1S/C4H7O2/c1-4(2-5)3-6/h2,4H,3H2,1H3"
242,IC3H5OOCH2,2,"InChI=1S/C4H7O2/c1-4(2)6-5-3/h1,3H2,2H3"
243,CCYCCO-T1,2,"InChI=1S/C3H5O/c1-3-2-4-3/h2H2,1H3"
244,IC4H8OH-IT,2,"InChI=1S/C4H9O/c1-4(2)3-5/h5H,3H2,1-2H3"
245,IC4H8OH-TI,2,"InChI=1S/C4H9O/c1-4(2,3)5/h5H,1H2,2-3H3"
246,IC4H7OH,1,"InChI=1S/C4H8O/c1-4(2)3-5/h5H,1,3H2,2H3"
247,IC4H8OH,2,"InChI=1S/C4H9O/c1-4(2)3-5/h4-5H,1,3H2,2H3"
248,IC4H6OH,2,"InChI=1S/C4H7O/c1-4(2)3-5/h3,5H,1H2,2H3"
249,TQJC4H8OH,2,"InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h5H,3H2,1-2H3"
250,TQC4H8OI,2,"InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h6H,3H2,1-2H3"
251,QC4H7OHP,2,"InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h5-6H,1,3H2,2H3"
252,TQC4H7OHI,2,"InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h3,5-6H,1-2H3"
253,CCY(CCO)COH,1,"InChI=1S/C4H8O2/c1-4(2-5)3-6-4/h5H,2-3H2,1H3"
254,C2CY(COC)OH,1,"InChI=1S/C4H8O2/c1-4(2)3(5)6-4/h3,5H,1-2H3"
255,IQJC4H8OH,2,"InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h5H,3H2,1-2H3"
256,IC3H6OHCHO,1,"InChI=1S/C4H8O2/c1-4(2,6)3-5/h3,6H,1-2H3"
257,IQC4H8OT,2,"InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h6H,3H2,1-2H3"
258,IQC4H7OHT,2,"InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h5-6H,1,3H2,2H3"
259,CCY(CCOC)OH,1,"InChI=1S/C4H8O2/c1-4(5)2-6-3-4/h5H,2-3H2,1H3"
260,CH2COHCH2OOH,1,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h4-5H,1-2H2"
261,TC3H6OH,2,"InChI=1S/C3H7O/c1-3(2)4/h4H,1-2H3"
262,TQC4H7OHIO2,2,"InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5,7H,1-2H3"
263,TQC4H7OHTO2,2,"InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5-6H,1-2H3"
