i_,name,mult,inchi
264,TQC4H7OHIQ-I,2,"InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,6-7H,1-2H3"
265,TQC4H7OHIQ-P,2,"InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5-7H,1H2,2H3"
266,IC3H5COHQ,1,"InChI=1S/C4H8O3/c1-3(2)4(5)7-6/h4-6H,1H2,2H3"
267,CH2CQCOHQ,1,"InChI=1S/C3H6O5/c1-2(7-5)3(4)8-6/h3-6H,1H2"
268,IC3H5Q,1,"InChI=1S/C3H6O2/c1-3(2)5-4/h4H,1H2,2H3"
269,COHQCYC(COC),1,"InChI=1S/C4H8O4/c1-4(2-7-4)3(5)8-6/h3,5-6H,2H2,1H3"
270,QCYC(CCOC)OH,1,"InChI=1S/C4H8O4/c1-4(8-6)2-7-3(4)5/h3,5-6H,2H2,1H3"
271,HOCOCQ(CH3)2,1,"InChI=1S/C4H8O4/c1-4(2,8-7)3(5)6/h7H,1-2H3,(H,5,6)"
272,IQC4H7OHTO2,2,"InChI=1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h5-6H,2-3H2,1H3"
273,IQC4H8OTQ-I,2,"InChI=1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h6-7H,2-3H2,1H3"
274,IQC4H7OHTQ-P,2,"InChI=1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h5-7H,1-3H2"
275,CHOC(CH3)OHCH2Q,1,"InChI=1S/C4H8O4/c1-4(6,2-5)3-8-7/h2,6-7H,3H2,1H3"
276,CO(CH2OOH)2,1,"InChI=1S/C3H6O5/c4-3(1-7-5)2-8-6/h5-6H,1-2H2"
277,CH3COCHO,1,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3"
278,IC3H5OCH2,2,"InChI=1S/C4H7O/c1-4(2)5-3/h1,3H2,2H3"
279,IC4H7OOCH3,1,"InChI=1S/C5H10O2/c1-5(2)4-7-6-3/h1,4H2,2-3H3"
280,IC4H7OOIC4H7,1,"InChI=1S/C8H14O2/c1-7(2)5-9-10-6-8(3)4/h1,3,5-6H2,2,4H3"
281,C4H8-1,1,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
282,C4H8-2,1,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3"
283,C4H71-1,2,"InChI=1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3"
284,C4H71-2,2,"InChI=1S/C4H7/c1-3-4-2/h1,4H2,2H3"
285,C4H71-3,2,"InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3"
286,C4H71-4,2,"InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2"
287,C4H72-2,2,"InChI=1S/C4H7/c1-3-4-2/h3H,1-2H3"
288,C4H71-O,2,"InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3"
289,PC4H8OH-2,2,"InChI=1S/C4H9O/c1-2-3-4-5/h3,5H,2,4H2,1H3"
290,SC4H8OH-1,2,"InChI=1S/C4H9O/c1-3-4(2)5/h4-5H,2-3H2,1H3"
291,SC4H8OH-3,2,"InChI=1S/C4H9O/c1-3-4(2)5/h3-5H,1-2H3"
292,C4H71-3OH,1,"InChI=1S/C4H8O/c1-3-4(2)5/h3-5H,1H2,2H3"
293,C4H71-4OH,1,"InChI=1S/C4H8O/c1-2-3-4-5/h2,5H,1,3-4H2"
294,C4H71-1OH,1,"InChI=1S/C4H8O/c1-2-3-4-5/h3-5H,2H2,1H3"
295,C4H71-2OH,1,"InChI=1S/C4H8O/c1-3-4(2)5/h5H,2-3H2,1H3"
296,C4H72-1OH,1,"InChI=1S/C4H8O/c1-2-3-4-5/h2-3,5H,4H2,1H3"
297,C4H72-2OH,1,"InChI=1S/C4H8O/c1-3-4(2)5/h3,5H,1-2H3"
298,SQC4H8OP,2,"InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h4,6H,2-3H2,1H3"
299,PQC4H8OS,2,"InChI=1S/C4H9O3/c1-2-4(5)3-7-6/h4,6H,2-3H2,1H3"
300,PQC4H7OHS-3,2,"InChI=1S/C4H9O3/c1-2-4(5)3-7-6/h2,4-6H,3H2,1H3"
301,NC4KET12OH,1,"InChI=1S/C4H8O2/c1-2-4(6)3-5/h3-4,6H,2H2,1H3"
302,SQC4H7OHS-4,2,"InChI=1S/C4H9O3/c1-3(5)4(2)7-6/h3-6H,1H2,2H3"
303,SQC4H8OS,2,"InChI=1S/C4H9O3/c1-3(5)4(2)7-6/h3-4,6H,1-2H3"
304,NC4KET23OH,1,"InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3"
305,SC4H8OH-3O2,2,"InChI=1S/C4H9O3/c1-3(5)4(2)7-6/h3-5H,1-2H3"
306,CCY(COCC)OH,1,"InChI=1S/C4H8O2/c1-3-4(5)2-6-3/h3-5H,2H2,1H3"
307,C4H7O2-1,2,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3H,4H2,1H3"
308,C4H6-1,1,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3"
309,AC3H5OCH2,2,"InChI=1S/C4H7O/c1-3-4-5-2/h3H,1-2,4H2"
310,SC3H5OCH2-1,2,"InChI=1S/C4H7O/c1-3-4-5-2/h3-4H,2H2,1H3"
311,"C8H141-5,3-4",1,"InChI=1S/C8H14/c1-5-7(3)8(4)6-2/h5-8H,1-2H2,3-4H3"
312,"C8H141-5,3",1,"InChI=1S/C8H14/c1-4-6-7-8(3)5-2/h4-6,8H,2,7H2,1,3H3"
313,C8H142-6,1,"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h3-6H,7-8H2,1-2H3"
314,"C8H131-5,3-4,TA",2,"InChI=1S/C8H13/c1-5-7(3)8(4)6-2/h5-7H,1-2H2,3-4H3"
315,"C8H131-5,3,TA",2,"InChI=1S/C8H13/c1-4-6-7-8(3)5-2/h4-6H,2,7H2,1,3H3"
316,"C8H131-5,3,SA",2,"InChI=1S/C8H13/c1-4-6-7-8(3)5-2/h4-8H,2H2,1,3H3"
317,"C8H131-5,3,PA",2,"InChI=1S/C8H13/c1-4-6-7-8(3)5-2/h4-6,8H,1-2,7H2,3H3"
318,"C8H132-6,SA",2,"InChI=1S/C8H13/c1-3-5-7-8-6-4-2/h3-7H,8H2,1-2H3"
319,"C8H132-6,PA",2,"InChI=1S/C8H13/c1-3-5-7-8-6-4-2/h3-6H,1,7-8H2,2H3"
320,"C6H101-3,3",1,"InChI=1S/C6H10/c1-4-6(3)5-2/h4-5H,1H2,2-3H3"
321,"C8H131-5,3-4,TAO",2,"InChI=1S/C8H13O/c1-5-7(3)8(4,9)6-2/h5-7H,1-2H2,3-4H3"
322,"C8H131-5,3,TAO",2,"InChI=1S/C8H13O/c1-4-6-7-8(3,9)5-2/h4-6H,2,7H2,1,3H3"
323,"C8H131-5,3,SAO",2,"InChI=1S/C8H13O/c1-4-6-8(9)7(3)5-2/h4-8H,2H2,1,3H3"
324,"C8H131-5,3,PAO",2,"InChI=1S/C8H13O/c1-3-8(2)6-4-5-7-9/h3-5,8H,1,6-7H2,2H3"
325,"C8H132-6,SAO",2,"InChI=1S/C8H13O/c1-3-5-7-8(9)6-4-2/h3-6,8H,7H2,1-2H3"
326,"C8H132-6,PAO",2,"InChI=1S/C8H13O/c1-2-3-4-5-6-7-8-9/h2-3,6-7H,4-5,8H2,1H3"
327,"C7H111-5,3,6P",2,"InChI=1S/C7H11/c1-4-6-7(3)5-2/h1,4-5,7H,2,6H2,3H3"
328,"C7H111-5,1P",2,"InChI=1S/C7H11/c1-3-5-7-6-4-2/h1,3-4,6H,5,7H2,2H3"
329,"C4H64,2-1OH",2,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3,5H,1,4H2"
330,"C4H63,1-1OH",2,"InChI=1S/C4H7O/c1-2-3-4-5/h2-5H,1H3"
331,"C4H63,1-3OH",2,"InChI=1S/C4H7O/c1-3-4(2)5/h3,5H,1H2,2H3"
332,"C4H63,1-2OH",2,"InChI=1S/C4H7O/c1-3-4(2)5/h3,5H,2H2,1H3"
333,C4H5OH-13,1,"InChI=1S/C4H6O/c1-2-3-4-5/h2-5H,1H2"
334,SQC4H7OHP-4,2,"InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h4-6H,1-3H2"
335,CY(CCCO)COH,1,"InChI=1S/C4H8O2/c5-3-4-1-2-6-4/h4-5H,1-3H2"
336,NC4KET21OH,1,"InChI=1S/C4H8O2/c1-2-4(6)3-5/h5H,2-3H2,1H3"
337,C2H5CHOHCO,2,"InChI=1S/C4H7O2/c1-2-4(6)3-5/h4,6H,2H2,1H3"
338,CH3COCOHCH3,2,"InChI=1S/C4H7O2/c1-3(5)4(2)6/h5H,1-2H3"
339,C2H4COCH2OH,2,"InChI=1S/C4H7O2/c1-2-4(6)3-5/h2,5H,3H2,1H3"
340,CH3COHCO,1,"InChI=1S/C3H4O2/c1-3(5)2-4/h5H,1H3"
341,CH2COHCHO,1,"InChI=1S/C3H4O2/c1-3(5)2-4/h2,5H,1H2"
342,SQC4H7OHP-4O2,2,"InChI=1S/C4H9O5/c5-3-4(9-7)1-2-8-6/h4-5,7H,1-3H2"
343,PQC4H7OHS-3O2,2,"InChI=1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-6H,2H2,1H3"
344,SQC4H7OHS-4O2,2,"InChI=1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-5,7H,2H2,1H3"
345,"C4H7O2-1,3OOH",2,"InChI=1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-4,6-7H,2H2,1H3"
346,NC4KET13OH-2,1,"InChI=1S/C4H8O4/c1-3(8-7)4(6)2-5/h2-4,6-7H,1H3"
347,NC4KET24OH-1,1,"InChI=1S/C4H8O4/c5-3-4(6)1-2-8-7/h5,7H,1-3H2"
348,NC4KET24OH-3,1,"InChI=1S/C4H8O4/c1-3(5)4(6)2-8-7/h4,6-7H,2H2,1H3"
349,C4H6OHOOH1-4-3,1,"InChI=1S/C4H8O3/c1-2-4(3-5)7-6/h2,4-6H,1,3H2"
350,C4H6OHOOH2-2-1,1,"InChI=1S/C4H8O3/c1-2-4(5)3-7-6/h2,5-6H,3H2,1H3"
351,C4H6OHOOH1-3-4,1,"InChI=1S/C4H8O3/c1-2-4(5)3-7-6/h2,4-6H,1,3H2"
352,C4H6OHOOH1-2-3,1,"InChI=1S/C4H8O3/c1-3(5)4(2)7-6/h4-6H,1H2,2H3"
353,HOCH2CHO,1,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2"
354,C4H71-4OOH,1,"InChI=1S/C4H8O2/c1-2-3-4-6-5/h2,5H,1,3-4H2"
355,C4H71-4O2,2,"InChI=1S/C4H7O2/c1-2-3-4-6-5/h2H,1,3-4H2"
356,C4H61-3OOH4,2,"InChI=1S/C4H7O2/c1-2-3-4-6-5/h2-3,5H,1,4H2"
357,C4H6O1-3OOH4,2,"InChI=1S/C4H7O3/c1-2-4(5)3-7-6/h2,4,6H,1,3H2"
358,C4H6O2-1OOH4,2,"InChI=1S/C4H7O3/c5-3-1-2-4-7-6/h1-2,6H,3-4H2"
359,HOCH2COCH2,2,"InChI=1S/C3H5O2/c1-3(5)2-4/h4H,1-2H2"
360,HOCH2CO,2,"InChI=1S/C2H3O2/c3-1-2-4/h3H,1H2"
361,HOCHCHO,2,InChI=1S/C2H3O2/c3-1-2-4/h1-3H
362,PC3H4OH-3,2,"InChI=1S/C3H5O/c1-2-3-4/h2-4H,1H2"
363,PC3H4OH-1,2,"InChI=1S/C3H5O/c1-2-3-4/h2,4H,1H3"
364,CH3COCHOH,2,"InChI=1S/C3H5O2/c1-3(5)2-4/h2,4H,1H3"
365,SC2H2OH,2,"InChI=1S/C2H3O/c1-2-3/h3H,1H2"
366,PC4H8OH-1,2,"InChI=1S/C4H9O/c1-2-3-4-5/h4-5H,2-3H2,1H3"
367,PC4H8OH-3,2,"InChI=1S/C4H9O/c1-2-3-4-5/h2,5H,3-4H2,1H3"
368,C4H7O1-4,2,"InChI=1S/C4H7O/c1-2-3-4-5/h2H,1,3-4H2"
369,PC4H8OH-4,2,"InChI=1S/C4H9O/c1-2-3-4-5/h5H,1-4H2"
370,SC4H8OH-2,2,"InChI=1S/C4H9O/c1-3-4(2)5/h5H,3H2,1-2H3"
371,CH2COHCO,2,"InChI=1S/C3H3O2/c1-3(5)2-4/h5H,1H2"
372,C4H72-2O2,2,"InChI=1S/C4H7O2/c1-3-4(2)6-5/h3H,1-2H3"
373,C4H71-1O2,2,"InChI=1S/C4H7O2/c1-2-3-4-6-5/h3-4H,2H2,1H3"
374,C4H71-2O2,2,"InChI=1S/C4H7O2/c1-3-4(2)6-5/h2-3H2,1H3"
375,C3H6OH1-1,2,"InChI=1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3"
376,PC4H8OH-2O2,2,"InChI=1S/C4H9O3/c1-2-4(3-5)7-6/h4-5H,2-3H2,1H3"
377,SC4H8OH-1O2,2,"InChI=1S/C4H9O3/c1-2-4(5)3-7-6/h4-5H,2-3H2,1H3"
378,C4H71-3OOCH3,1,"InChI=1S/C5H10O2/c1-4-5(2)7-6-3/h4-5H,1H2,2-3H3"
379,C4H72-1OOCH3,1,"InChI=1S/C5H10O2/c1-3-4-5-7-6-2/h3-4H,5H2,1-2H3"
380,C4H6,1,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
381,C4H612,1,"InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3"
382,C4H6-2,1,InChI=1S/C4H6/c1-3-4-2/h1-2H3
383,C4H5-I,2,"InChI=1S/C4H5/c1-3-4-2/h3H,1-2H2"
384,C4H5-N,2,"InChI=1S/C4H5/c1-3-4-2/h1,3-4H,2H2"
385,C4H5-2,2,"InChI=1S/C4H5/c1-3-4-2/h1H2,2H3"
386,C4H4,1,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2"
387,C4H3-I,2,"InChI=1S/C4H3/c1-3-4-2/h1H,2H2"
388,C4H3-N,2,InChI=1S/C4H3/c1-3-4-2/h1-3H
389,C4H2,1,InChI=1S/C4H2/c1-3-4-2/h1-2H
390,C4H6O25,1,"InChI=1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2"
391,C2H3CHOCH2,1,"InChI=1S/C4H6O/c1-2-4-3-5-4/h2,4H,1,3H2"
392,C4H4O,1,"InChI=1S/C4H4O/c1-2-3-4-5/h4H,1H3"
393,C4H6O23,1,"InChI=1S/C4H6O/c1-2-4-5-3-1/h1,3H,2,4H2"
394,CH2CHCHCHO,2,"InChI=1S/C4H5O/c1-2-3-4-5/h2-4H,1H2"
395,H2C4O,1,"InChI=1S/C4H2O/c1-2-4-3-5-4/h1,3H"
396,NC3H7CHO,1,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3"
397,NC3H7CO,2,"InChI=1S/C4H7O/c1-2-3-4-5/h2-3H2,1H3"
398,C3H6CHO-1,2,"InChI=1S/C4H7O/c1-2-3-4-5/h4H,1-3H2"
399,C3H6CHO-2,2,"InChI=1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3"
400,C3H6CHO-3,2,"InChI=1S/C4H7O/c1-2-3-4-5/h3-4H,2H2,1H3"
401,SC3H5CHO,1,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3"
402,SC3H5CO,2,"InChI=1S/C4H5O/c1-2-3-4-5/h2-3H,1H3"
403,C2H5COCH3,1,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
404,C2H5COCH2,2,"InChI=1S/C4H7O/c1-3-4(2)5/h2-3H2,1H3"
405,CH2CH2COCH3,2,"InChI=1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3"
406,CH3CHCOCH3,2,"InChI=1S/C4H7O/c1-3-4(2)5/h3H,1-2H3"
407,C2H3COCH3,1,"InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3"
408,CH3CHOOCOCH3,2,"InChI=1S/C4H7O3/c1-3(5)4(2)7-6/h4H,1-2H3"
409,CH2CHOOHCOCH3,2,"InChI=1S/C4H7O3/c1-3(5)4(2)7-6/h4,6H,2H2,1H3"
410,C2H5CHCO,1,"InChI=1S/C4H6O/c1-2-3-4-5/h3H,2H2,1H3"
411,NC5H12,1,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
412,C5H11-1,2,"InChI=1S/C5H11/c1-3-5-4-2/h1,3-5H2,2H3"
413,C5H11-2,2,"InChI=1S/C5H11/c1-3-5-4-2/h3H,4-5H2,1-2H3"
414,C5H11-3,2,"InChI=1S/C5H11/c1-3-5-4-2/h5H,3-4H2,1-2H3"
415,C5H11O2H-1,1,"InChI=1S/C5H12O2/c1-2-3-4-5-7-6/h6H,2-5H2,1H3"
416,C5H11O2H-2,1,"InChI=1S/C5H12O2/c1-3-4-5(2)7-6/h5-6H,3-4H2,1-2H3"
417,C5H11O2H-3,1,"InChI=1S/C5H12O2/c1-3-5(4-2)7-6/h5-6H,3-4H2,1-2H3"
418,C5H11O2-1,2,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h2-5H2,1H3"
419,C5H11O2-2,2,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5H,3-4H2,1-2H3"
420,C5H11O2-3,2,"InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h5H,3-4H2,1-2H3"
421,C5H11O-1,2,"InChI=1S/C5H11O/c1-2-3-4-5-6/h2-5H2,1H3"
422,C5H11O-2,2,"InChI=1S/C5H11O/c1-3-4-5(2)6/h5H,3-4H2,1-2H3"
423,C5H11O-3,2,"InChI=1S/C5H11O/c1-3-5(6)4-2/h5H,3-4H2,1-2H3"
424,C5H10OOH1-2,2,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h4,6H,2-3,5H2,1H3"
425,C5H10OOH1-3,2,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h3,6H,2,4-5H2,1H3"
426,C5H10OOH1-4,2,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h2,6H,3-5H2,1H3"
427,C5H10OOH1-5,2,"InChI=1S/C5H11O2/c1-2-3-4-5-7-6/h6H,1-5H2"
428,C5H10OOH2-1,2,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5-6H,2-4H2,1H3"
429,C5H10OOH2-3,2,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h4-6H,3H2,1-2H3"
430,C5H10OOH2-4,2,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h3,5-6H,4H2,1-2H3"
431,C5H10OOH2-5,2,"InChI=1S/C5H11O2/c1-3-4-5(2)7-6/h5-6H,1,3-4H2,2H3"
432,C5H10OOH3-1,2,"InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h5-6H,1,3-4H2,2H3"
433,C5H10OOH3-2,2,"InChI=1S/C5H11O2/c1-3-5(4-2)7-6/h3,5-6H,4H2,1-2H3"
434,C5H10O1-2,1,"InChI=1S/C5H10O/c1-2-3-5-4-6-5/h5H,2-4H2,1H3"
435,C5H10O1-3,1,"InChI=1S/C5H10O/c1-2-5-3-4-6-5/h5H,2-4H2,1H3"
436,C5H10O1-4,1,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3"
437,C5H10O1-5,1,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2
438,C5H10O2-3,1,"InChI=1S/C5H10O/c1-3-5-4(2)6-5/h4-5H,3H2,1-2H3"
439,C5H10O2-4,1,"InChI=1S/C5H10O/c1-4-3-5(2)6-4/h4-5H,3H2,1-2H3"
440,C5H10OOH1-2O2,2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h5-6H,2-4H2,1H3"
441,C5H10OOH1-3O2,2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h5-6H,2-4H2,1H3"
442,C5H10OOH1-4O2,2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5-6H,2-4H2,1H3"
443,C5H10OOH1-5O2,2,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h6H,1-5H2"
444,C5H10OOH2-1O2,2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h5,7H,2-4H2,1H3"
445,C5H10OOH2-3O2,2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-6H,3H2,1-2H3"
446,C5H10OOH2-4O2,2,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h4-6H,3H2,1-2H3"
447,C5H10OOH2-5O2,2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5,7H,2-4H2,1H3"
448,C5H10OOH3-1O2,2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h5,7H,2-4H2,1H3"
449,C5H10OOH3-2O2,2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-5,7H,3H2,1-2H3"
450,"C5H91-2,3OOH",2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-7H,2-3H2,1H3"
451,"C5H91-2,4OOH",2,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h4-7H,1,3H2,2H3"
452,"C5H91-2,5OOH",2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5-7H,1-4H2"
453,"C5H91-3,4OOH",2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-7H,1,3H2,2H3"
454,"C5H91-3,5OOH",2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h5-7H,1-4H2"
455,"C5H91-4,5OOH",2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h5-7H,1-4H2"
456,"C5H92-1,3OOH",2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h3,5-7H,2,4H2,1H3"
457,"C5H92-1,4OOH",2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h2,5-7H,3-4H2,1H3"
458,"C5H92-1,5OOH",2,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h2,6-7H,1,3-5H2"
459,"C5H92-3,4OOH",2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h3-7H,1-2H3"
460,"C5H92-3,5OOH",2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h2,5-7H,3-4H2,1H3"
461,"C5H92-4,5OOH",2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h2,5-7H,3-4H2,1H3"
462,"C5H93-1,2OOH",2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h3,5-7H,2,4H2,1H3"
463,"C5H93-1,4OOH",2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h3,5-7H,2,4H2,1H3"
464,"C5H93-1,5OOH",2,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h1,6-7H,2-5H2"
465,"C5H93-2,4OOH",2,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h3-7H,1-2H3"
466,C5H91-3OOH,1,"InChI=1S/C5H10O2/c1-3-5(4-2)7-6/h3,5-6H,1,4H2,2H3"
467,C5H91-4OOH,1,"InChI=1S/C5H10O2/c1-3-4-5(2)7-6/h3,5-6H,1,4H2,2H3"
468,C5H91-5OOH,1,"InChI=1S/C5H10O2/c1-2-3-4-5-7-6/h2,6H,1,3-5H2"
469,C5H92-1OOH,1,"InChI=1S/C5H10O2/c1-2-3-4-5-7-6/h3-4,6H,2,5H2,1H3"
470,C5H92-4OOH,1,"InChI=1S/C5H10O2/c1-3-4-5(2)7-6/h3-6H,1-2H3"
471,C5H92-5OOH,1,"InChI=1S/C5H10O2/c1-2-3-4-5-7-6/h2-3,6H,4-5H2,1H3"
472,C5H9O1-2OOH-3,1,"InChI=1S/C5H10O3/c1-2-4(8-6)5-3-7-5/h4-6H,2-3H2,1H3"
473,C5H9O1-2OOH-4,1,"InChI=1S/C5H10O3/c1-4(8-6)2-5-3-7-5/h4-6H,2-3H2,1H3"
474,C5H9O1-2OOH-5,1,"InChI=1S/C5H10O3/c6-8-3-1-2-5-4-7-5/h5-6H,1-4H2"
475,C5H9O1-3OOH-2,1,"InChI=1S/C5H10O3/c1-2-4-5(8-6)3-7-4/h4-6H,2-3H2,1H3"
476,C5H9O1-3OOH-4,1,"InChI=1S/C5H10O3/c1-4(8-6)5-2-3-7-5/h4-6H,2-3H2,1H3"
477,C5H9O1-3OOH-5,1,"InChI=1S/C5H10O3/c6-8-4-2-5-1-3-7-5/h5-6H,1-4H2"
478,C5H9O1-4OOH-2,1,"InChI=1S/C5H10O3/c1-4-2-5(8-6)3-7-4/h4-6H,2-3H2,1H3"
